position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
44,1079.807578,30.75363105,1080.202477,25.71573065,923.5486685,655.4036743,1098.055556,44.11111111,923.001451,659.6367704
45,1080.70587,30.99018735,1080.21637,25.52955595,923.5486685,655.4036743,1098.333333,43.53333333,923.001451,659.6367704
46,1080.940058,30.68034821,1080.347775,25.48627801,923.5486685,655.4036743,1098.333333,43.53333333,923.001451,659.6367704
47,1081.136872,30.65711549,1080.265322,25.36261947,923.5486685,655.4036743,1098.333333,43.53333333,923.001451,659.6367704
48,1081.543787,30.83884679,1080.542788,25.3643658,923.5486685,655.4036743,1098.285714,43.35714286,923.001451,659.6367704
49,1081.83559,30.66710857,1080.550534,25.32777294,923.5486685,655.4036743,1098.285714,43.35714286,923.001451,659.6367704
50,1082.105339,30.78495699,1080.526993,25.3475321,923.5486685,655.4036743,1098.285714,43.35714286,923.001451,659.6367704
51,1082.897678,31.10766732,1080.38983,25.45103171,923.5486685,655.4036743,1098.3125,42.75,923.001451,659.6367704
52,1083.408989,31.52716675,1080.765541,26.23365288,923.5486685,655.4036743,1098.3125,42.75,923.001451,659.6367704
53,1083.872496,31.7475598,1080.937462,25.8723533,923.5486685,655.4036743,1098.3125,42.75,923.001451,659.6367704
54,1084.095569,31.81893693,1080.855875,25.62071113,923.5486685,655.4036743,1098.263158,42.52631579,923.001451,659.6367704
55,1084.09382,31.81723374,1080.766874,25.66597621,923.5486685,655.4036743,1098.263158,42.52631579,923.001451,659.6367704
56,1084.500002,32.00000149,1080.600002,25.13333817,923.5486685,655.4036743,1098.176471,42.52941176,923.001451,659.6367704
57,1084.555559,31.72222362,1080.933334,25.33334031,923.5486685,655.4036743,1098.166667,41.94444444,923.001451,659.6367704
58,1085.737283,32.26351878,1080.929019,26.14369939,923.5486685,655.4036743,1098.166667,41.94444444,923.001451,659.6367704
59,1085.650005,32.15000331,1081.000004,26.00001059,923.5486685,655.4036743,1098.166667,41.94444444,923.001451,659.6367704
60,1086.31579,32.26315846,1081.000001,26.18750113,923.5486685,655.4036743,1098.2,41.4,923.001451,659.6367704
61,1086.833333,32.55555556,1081.066667,26.40000003,923.5486685,655.4036743,1098.2,41.4,923.001451,659.6367704
62,1087.166667,32.6666667,1081.066667,26.40000013,923.5486685,655.4036743,1098.2,41.4,923.001451,659.6367704
63,1088.055556,32.88888889,1081.176471,26.70588235,923.5486685,655.4036743,1098.235294,40.94117647,923.001451,659.6367704
64,1088.705882,33,1081.411765,27.35294118,923.5486685,655.4036743,1098.2,40.6,923.001451,659.6367704
65,1089.157895,33.05263158,1081.411765,27.35294118,923.5486685,655.4036743,1098,40.21052632,923.001451,659.6367704
66,1089.157895,33.05263158,1081.5,27.31250002,923.5486685,655.4036743,1098,40,923.001451,659.6367704
67,1089.388889,33.11111111,1081.588235,27.47058824,923.5486685,655.4036743,1098,40,923.001451,659.6367704
68,1089.722222,33.11111111,1081.842105,27.68421053,923.5486685,655.4036743,1098.05,39.65,923.001451,659.6367704
69,1090.1875,33.1875,1082.052632,27.84210526,923.5486685,655.4036743,1097.95,39.85,923.001451,659.6367704
70,1090.933333,33.13333333,1082,28,923.5486685,655.4036743,1098.047619,39.47619048,923.001451,659.6367704
71,1091.052632,33,1082.444444,28.66666667,923.5486685,655.4036743,1098.05,39.8,923.001451,659.6367704
72,1091.529412,32.58823529,1082.5625,28.75,923.5486685,655.4036743,1098.055556,40.11111111,923.001451,659.6367704
73,1091.235297,32.47058858,1082.800003,28.73333604,923.5486685,655.4036743,1098.055556,40.11111111,923.001451,659.6367704
74,1091.235341,32.4705934,1083.187544,28.81253715,923.5486685,655.4036743,1098.117647,40.11764706,923.001451,659.6367704
75,1091.236031,32.47067015,1083.471202,29.05933537,923.5486685,655.4036743,1098.117647,40.11764706,923.001451,659.6367704
76,1091.23676,32.47075114,1083.530612,29.11864421,923.5486685,655.4036743,1098.117647,40.11764706,923.001451,659.6367704
77,1091.283287,32.47592155,1084.091427,29.49862059,923.5486685,655.4036743,1098.117647,40.11764706,923.001451,659.6367704
78,1091.266219,32.47402464,1083.965228,29.51700131,923.5486685,655.4036743,1098.117647,40.11764706,923.001451,659.6367704
79,1091.055328,32.30879078,1084.401749,29.71097044,923.5486685,655.4036743,1098.117647,40.11764706,923.001451,659.6367704
80,1090.984766,32.28499345,1084.315554,29.4917681,923.5486685,655.4036743,1098.1875,40.0625,923.001451,659.6367704
81,1090.765812,32.09701206,1084.175461,29.44774237,923.5486685,655.4036743,1098.1875,40.0625,923.001451,659.6367704
82,1091.78498,31.99862984,1084.680762,29.73373027,923.5486685,655.4036743,1098.266667,40.13333333,923.001451,659.6367704
83,1091.797522,31.9987651,1084.653069,29.87887118,923.5486685,655.4036743,1098.294118,40.05882353,923.001451,659.6367704
84,1091.695663,32.04872004,1084.620689,29.8110215,923.5486685,655.4036743,1098.5,40.33333333,923.001451,659.6367704
85,1091.694347,32.04834358,1084.61907,29.81045995,923.5486685,655.4036743,1098.421053,40.26315789,923.001451,659.6367704
86,1091.854838,32.09444678,1084.623346,29.81206165,923.5486685,655.4036743,1098.421053,40.26315789,923.001451,659.6367704
87,1091.732744,32.0048604,1084.425345,29.74237672,923.5486685,655.4036743,1098.235294,39.82352941,923.001451,659.6367704
88,1092.053473,32.10528049,1084.400957,29.73393833,923.5486685,655.4036743,1098.1875,40.0625,923.001451,659.6367704
89,1092.052749,32.10525491,1084.187658,29.68760147,923.5486685,655.4036743,1098.333333,39.66666667,923.001451,659.6367704
90,1092.476427,32.14286098,1084.00027,29.58839966,923.5486685,655.4036743,1098.421053,39.47368421,923.001451,659.6367704
91,1092.94998,32.54999483,1083.999988,29.58822983,923.5486685,655.4036743,1098.470588,39.82352941,923.001451,659.6367704
92,1092.999962,32.71427485,1083.888866,29.61110091,923.5486685,655.4036743,1098.421053,39.57894737,923.001451,659.6367704
93,1093.249997,32.99999908,1083.823528,29.64705821,923.5486685,655.4036743,1098.5,39.40000033,923.001451,659.6367704
94,1093.173913,33.04347897,1083.823528,29.64705812,923.5486685,655.4036743,1098.68421,39.52631877,923.001451,659.6367704
95,1092.857129,33.1428528,1083.823515,29.64705293,923.5486685,655.4036743,1098.611111,39.61111662,923.001451,659.6367704
96,1092.904767,33.33333526,1083.823528,29.64705845,923.5486685,655.4036743,1098.68421,39.68421593,923.001451,659.6367704
97,1092.904767,33.33333526,1083.823528,29.64705845,923.5486685,655.4036743,1098.68421,39.68421593,923.001451,659.6367704
