position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
17,972.0025974,477.0479299,980.9459853,476.5068869,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,492,990.5655431,533.2871411,996,465.8232154
18,971.7687344,476.9945599,980.3142772,476.4666323,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.4615385,492.2307692,990.5655431,533.2871411,996,465.8232154
19,971.5659874,476.5616351,979.9980517,476.5009738,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,492.5,990.5655431,533.2871411,996,465.8232154
20,971.5275236,476.5586084,979.7313263,476.4672298,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,492.5,990.5655431,533.2871411,996,465.8232154
21,970.8474184,476.5368097,979.5692621,476.4901082,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,492.5,990.5655431,533.2871411,996,465.8232154
22,970.8474184,476.5368097,979.5692621,476.4901082,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,492.5,990.5655431,533.2871411,996,465.8232154
23,970.4705982,476.6973235,978.7304497,476.4679889,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,493,990.5655431,533.2871411,996,465.8232154
24,969.2049594,476.4422985,977.9439992,476.6509855,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.0714286,493.1428571,990.5655431,533.2871411,996,465.8232154
25,969.0232116,476.3135011,977.6242828,476.4822573,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,492.8,990.5655431,533.2871411,996,465.8232154
26,969.4093064,475.9658082,977.1344823,476.4978988,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,492.8,990.5655431,533.2871411,996,465.8232154
27,969.3920598,475.9043306,977.0974864,476.49901,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989,493,990.5655431,533.2871411,996,465.8232154
