position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,,,,
15,1604.483321,70.45271754,1596.030279,60.70668379,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
16,1604.737694,71.62078077,1596.42681,61.04827748,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
17,1605.083511,72.45419677,1596.988229,61.36576586,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
18,1604.71709,73.25119525,1597.433223,61.99098085,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
19,1604.674776,73.88072797,1598.044982,62.61667501,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
20,1604.617867,74.40927239,1598.1756,62.98827399,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
21,1604.744897,75.30191697,1598.891503,63.53456975,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
22,1604.489307,75.82756258,1599.362945,64.04200497,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
23,1604.448885,76.54657783,1599.976917,64.75947784,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
24,1604.487266,77.21260789,1600.651887,65.65405586,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
25,1604.457841,77.75969925,1601.435493,66.07299376,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
26,1604.411477,79.6262278,1602.409201,67.8017339,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
27,1604.38234,80.88303614,1603.028252,68.78911712,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
28,1604.10555,81.78595761,1603.304138,69.81673988,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
29,1603.801978,82.28360002,1603.61356,70.74836184,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
30,1603.369348,82.49769591,1603.830795,71.30361094,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
31,1602.870415,82.92233404,1603.98021,72.02445398,1702.8,132.6838951,1666.411104,176.0773298,1716.196629,154.8820225,1740.338327,209.8233458,,,,
