position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
79,1563.749972,45.33333619,1574.269192,45.23076722,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
80,1563.918922,45.35710447,1573.040238,45.47553516,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
81,1563.43168,45.39106128,1572.665998,45.39287178,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
82,1563.405075,45.4692314,1572.726453,45.19729648,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
83,1564.11822,45.39772307,1573.572996,45.02268847,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
84,1563.537568,45.13947934,1572.561785,45.03670069,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
85,1563.530833,45.14120453,1572.683953,44.78654111,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
86,1564.12714,45.26482453,1573.149839,44.77318817,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
87,1563.164424,45.08453863,1572.666623,44.77656555,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
88,1562.526316,45.05263156,1572.677419,44.77419356,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
89,1562.38889,45.27777799,1572.333334,44.7878786,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
90,1562.470613,45.11765185,1572.575773,44.75757228,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
91,1562.263158,45.42105263,1572.833333,44.9,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
92,1562.111112,45.55555568,1572.709678,44.90322563,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
93,1562.285781,45.90476326,1572.812554,44.93749011,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
94,1562.208339,46.58333263,1572.677425,44.99999906,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
95,1562.080002,47.19999956,1572.677421,44.9999997,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
96,1562.346154,47.88461539,1573.064516,44.93548387,1780.655431,51.29338327,1635.781701,8.268057785,1548.507022,64.96769663,1702.036517,56.53932584,1690.748315,21.28314607
