position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,,,,,,,,,,,,
13,1094.139639,16.59419373,1091.7294,11.18651997,1119.597378,8.732209738,1075,3,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
14,1094.488465,16.89112253,1091.790492,11.10144106,1119.597378,8.732209738,1074.875,3.25,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
15,1094.923578,17.20962466,1091.664935,11.12574903,1119.597378,8.732209738,1074.714286,3.285714286,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
16,1094.994318,17.14855488,1091.664516,11.12512076,1119.597378,8.732209738,1074.714286,3.285714286,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
17,1095.234177,16.98604549,1091.525166,10.84334024,1119.597378,8.732209738,1074.714286,3.285714286,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
18,1095.674614,17.14064801,1091.44595,10.95390625,1119.597378,8.732209738,1074.75,3.5,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
19,1095.699343,17.16243023,1091.566773,11.13401631,1119.597378,8.732209738,1074.666667,3.777777778,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
20,1095.998152,17.38328335,1091.646178,11.64505241,1119.597378,8.732209738,1074.5,4,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
21,1095.92809,17.21580334,1091.86953,11.93505773,1119.597378,8.732209738,1074.428571,4.285714286,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
22,1095.927843,17.21550516,1091.869182,11.93458334,1119.597378,8.732209738,1074.428571,4.285714286,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
23,1095.927843,17.21550466,1091.869181,11.93458255,1119.597378,8.732209738,1074.5,4.5,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
24,1095.691256,16.94820827,1091.525762,11.30790849,1119.597378,8.732209738,1074.4,4.8,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
