Leader,Follower,Time,Colony,ColonySize,Date
BX-,B-X,12.42,DI-316,122,4.9.2013
BX-,XO-,12.44,DI-316,122,4.9.2013
BX-,WX-,12.45,DI-316,122,4.9.2013
YY-, --Y,12.49,DI-316,122,4.9.2013
OO-, -Y-,12.49,DI-316,122,4.9.2013
 -BB,YX-,12.49,DI-316,122,4.9.2013
YY-, -Y-,12.49,DI-316,122,4.9.2013
BX-,O-O,12.5,DI-316,122,4.9.2013
OO-,XGG,12.5,DI-316,122,4.9.2013
YY-,WX-,12.5,DI-316,122,4.9.2013
 -BB, -XG,12.5,DI-316,122,4.9.2013
 --G,X-B,12.5,DI-316,122,4.9.2013
O-O,WXX,12.51,DI-316,122,4.9.2013
O-O, -XY,12.51,DI-316,122,4.9.2013
WW-,WWW,12.52,DI-316,122,4.9.2013
 -BB,XGX,12.52,DI-316,122,4.9.2013
XXS,XOX,12.53,DI-316,122,4.9.2013
OO-,SXS,12.53,DI-316,122,4.9.2013
 -XO,XX-,12.54,DI-316,122,4.9.2013
BB-,WX-,12.54,DI-316,122,4.9.2013
 -BB, --G,12.54,DI-316,122,4.9.2013
YY-, -OO,12.55,DI-316,122,4.9.2013
O-O,XBX,12.55,DI-316,122,4.9.2013
 -BB, -X-,12.55,DI-316,122,4.9.2013
WW-,SXX,12.56,DI-316,122,4.9.2013
G--, -XG,12.56,DI-316,122,4.9.2013
W--,X-W,12.56,DI-316,122,4.9.2013
XXB,BBB,12.56,DI-316,122,4.9.2013
Y--, --O,12.56,DI-316,122,4.9.2013
 -XS,XW-,12.56,DI-316,122,4.9.2013
OO-,XY-,12.57,DI-316,122,4.9.2013
 -GG,BBX,12.57,DI-316,122,4.9.2013
 --W,XSS,12.57,DI-316,122,4.9.2013
WW-,XXY,12.57,DI-316,122,4.9.2013
SX-, -XY,12.57,DI-316,122,4.9.2013
XXB, --R,12.57,DI-316,122,4.9.2013
G--, -S-,12.57,DI-316,122,4.9.2013
 --Y,XWX,12.58,DI-316,122,4.9.2013
WWW,GGX,12.58,DI-316,122,4.9.2013
OOO, -SS,12.58,DI-316,122,4.9.2013
W--,XWW,12.58,DI-316,122,4.9.2013
O-O,GG-,12.59,DI-316,122,4.9.2013
OO-,S-S,12.59,DI-316,122,4.9.2013
 -XB,X-O,12.59,DI-316,122,4.9.2013
G--,XYX,12.59,DI-316,122,4.9.2013
 -XO,BXB,12.59,DI-316,122,4.9.2013
 -XB,YYX,12.59,DI-316,122,4.9.2013
XXB, --X,12.59,DI-316,122,4.9.2013
GG-, -SX,12.59,DI-316,122,4.9.2013
OOO,S-S,12.59,DI-316,122,4.9.2013
 -BB,G-X,12.59,DI-316,122,4.9.2013
BB-,XX-,13,DI-316,122,4.9.2013
WW-,O-X,13,DI-316,122,4.9.2013
OOO,W-W,13,DI-316,122,4.9.2013
WWW,XXW,13,DI-316,122,4.9.2013
OO-,WWX,13,DI-316,122,4.9.2013
 --G, -XW,13,DI-316,122,4.9.2013
 --G, -GX,13.01,DI-316,122,4.9.2013
O-O,O--,13.01,DI-316,122,4.9.2013
 --Y, -OX,13.01,DI-316,122,4.9.2013
 -XS,YYY,13.01,DI-316,122,4.9.2013
OOO,Y-Y,13.01,DI-316,122,4.9.2013
Y--,SSX,13.01,DI-316,122,4.9.2013
 -XB,OXX,13.01,DI-316,122,4.9.2013
XXB,XXG,13.01,DI-316,122,4.9.2013
WW-,XO-,13.01,DI-316,122,4.9.2013
OO-, -GG,13.02,DI-316,122,4.9.2013
OOO, --B,13.02,DI-316,122,4.9.2013
SS-,X--,13.02,DI-316,122,4.9.2013
 --G,XY-,13.02,DI-316,122,4.9.2013
 --Y,X-X,13.02,DI-316,122,4.9.2013
X--,BXX,13.03,DI-316,122,4.9.2013
WWW,XBB,13.03,DI-316,122,4.9.2013
Y--,B--,13.03,DI-316,122,4.9.2013
X-B, -WW,13.03,DI-316,122,4.9.2013
XSS,W-X,13.03,DI-316,122,4.9.2013
W-X, --S,13.04,DI-316,122,4.9.2013
G--,XXO,13.09,DI-316,122,4.9.2013
WW-,XB-,13.11,DI-316,122,4.9.2013
OO-,O-O,13.13,DI-316,122,4.9.2013
SX-,S-X,13.13,DI-316,122,4.9.2013
 --X,XXX,16.14,DI-317,82,5.9.2013
 --X, -SS,16.17,DI-317,82,5.9.2013
 --X,Y--,16.18,DI-317,82,5.9.2013
B-B,XXX,16.19,DI-317,82,5.9.2013
 --X,BB-,16.2,DI-317,82,5.9.2013
 -SS,SSS,16.21,DI-317,82,5.9.2013
 --X, --G,16.22,DI-317,82,5.9.2013
B-B,X--,16.23,DI-317,82,5.9.2013
Y--, -S-,16.23,DI-317,82,5.9.2013
 --X,X-X,16.23,DI-317,82,5.9.2013
B-B,O--,16.25,DI-317,82,5.9.2013
Y--, --R,16.25,DI-317,82,5.9.2013
 --X,BB-,16.25,DI-317,82,5.9.2013
Y--, --Y,16.26,DI-317,82,5.9.2013
 -S-,GGG,16.26,DI-317,82,5.9.2013
B-B,X-B,16.26,DI-317,82,5.9.2013
 --X,Y-Y,16.27,DI-317,82,5.9.2013
Y--,OO-,16.27,DI-317,82,5.9.2013
 -X-,XBX,16.27,DI-317,82,5.9.2013
B-B, --O,16.28,DI-317,82,5.9.2013
 -X-, -Y-,16.29,DI-317,82,5.9.2013
 --X, --W,16.29,DI-317,82,5.9.2013
B-B,WW-,16.29,DI-317,82,5.9.2013
 -SS,SXX,16.29,DI-317,82,5.9.2013
X-X,X--,16.3,DI-317,82,5.9.2013
Y--,S-S,16.3,DI-317,82,5.9.2013
 -X-,XSX,16.3,DI-317,82,5.9.2013
 -S-,XSS,16.3,DI-317,82,5.9.2013
 -SS,W--,16.31,DI-317,82,5.9.2013
 -X-,X-B,16.31,DI-317,82,5.9.2013
B-B,GG-,16.31,DI-317,82,5.9.2013
X-X, -O-,16.31,DI-317,82,5.9.2013
 --X,W-W,16.32,DI-317,82,5.9.2013
 -S-, -XG,16.33,DI-317,82,5.9.2013
SS-,X-S,16.33,DI-317,82,5.9.2013
 -SS, -G-,16.33,DI-317,82,5.9.2013
 -X-, --G,16.34,DI-317,82,5.9.2013
S-S,G-G,16.34,DI-317,82,5.9.2013
B-B,XX-,16.34,DI-317,82,5.9.2013
 -S-,G--,16.34,DI-317,82,5.9.2013
SS-,XXB,16.34,DI-317,82,5.9.2013
 --X,SXS,16.34,DI-317,82,5.9.2013
 -X-,BXB,16.34,DI-317,82,5.9.2013
 -SS, -SX,16.34,DI-317,82,5.9.2013
X-X,BBB,16.34,DI-317,82,5.9.2013
B-B,X-S,16.35,DI-317,82,5.9.2013
 -S-, -BX,16.35,DI-317,82,5.9.2013
 -S-,BXX,16.35,DI-317,82,5.9.2013
SS-, -XS,16.36,DI-317,82,5.9.2013
Y--, -XX,16.36,DI-317,82,5.9.2013
XXX,YY-,16.37,DI-317,82,5.9.2013
B-B, -YY,16.37,DI-317,82,5.9.2013
XXX, -XB,16.37,DI-317,82,5.9.2013
Y--, -W-,16.37,DI-317,82,5.9.2013
Y--,XG-,16.37,DI-317,82,5.9.2013
 -X-,S-X,16.37,DI-317,82,5.9.2013
B-B, -GG,16.37,DI-317,82,5.9.2013
X-X,XBB,16.38,DI-317,82,5.9.2013
X--,XBX,16.38,DI-317,82,5.9.2013
 -X-,SX-,16.38,DI-317,82,5.9.2013
 -SX,XB-,16.38,DI-317,82,5.9.2013
 -SS, -B-,16.38,DI-317,82,5.9.2013
X-X, --B,16.38,DI-317,82,5.9.2013
 --X,W-W,16.38,DI-317,82,5.9.2013
 -SS,BX-,16.38,DI-317,82,5.9.2013
SS-,XS-,16.38,DI-317,82,5.9.2013
Y--,XX-,16.39,DI-317,82,5.9.2013
X-X,BBX,16.39,DI-317,82,5.9.2013
 -SX,S-X,16.39,DI-317,82,5.9.2013
 -G-, -BB,16.39,DI-317,82,5.9.2013
X--, -WW,16.39,DI-317,82,5.9.2013
BBB,YYY,16.4,DI-317,82,5.9.2013
 -X-,WW-,16.41,DI-317,82,5.9.2013
 -BB,B-X,16.41,DI-317,82,5.9.2013
 -SX,GGG,16.43,DI-317,82,5.9.2013
 -X-, --S,16.43,DI-317,82,5.9.2013
Y--,WW-,16.47,DI-317,82,5.9.2013
B-B, -SS,16.53,DI-317,82,5.9.2013
B-B,XXS,16.57,DI-317,82,5.9.2013
 -SS,SSS,16.58,DI-317,82,5.9.2013
 -BX,OXX,16.26,DI-319,139,11.9.2013
 -BX,X-B,16.27,DI-319,139,11.9.2013
BBS,OOX,16.27,DI-319,139,11.9.2013
 -BX, -XS,16.27,DI-319,139,11.9.2013
BBS,XXW,16.27,DI-319,139,11.9.2013
 -BX,GXX,16.27,DI-319,139,11.9.2013
BBS,XXS,16.28,DI-319,139,11.9.2013
 -BX,WW-,16.28,DI-319,139,11.9.2013
BBS,XXB,16.28,DI-319,139,11.9.2013
 -BX,OOO,16.29,DI-319,139,11.9.2013
BBS,WWW,16.29,DI-319,139,11.9.2013
 -BX,XWX,16.29,DI-319,139,11.9.2013
XXW,BBX,16.29,DI-319,139,11.9.2013
 -XX,XSS,16.29,DI-319,139,11.9.2013
BSS,BSB,16.29,DI-319,139,11.9.2013
 -BX,SX-,16.3,DI-319,139,11.9.2013
BBS, -GX,16.3,DI-319,139,11.9.2013
 -XX,G-X,16.3,DI-319,139,11.9.2013
BBX,S-G,16.3,DI-319,139,11.9.2013
BSS,XY-,16.3,DI-319,139,11.9.2013
 -BX,YYX,16.31,DI-319,139,11.9.2013
 -SB, --R,16.31,DI-319,139,11.9.2013
 -XX, -GG,16.31,DI-319,139,11.9.2013
O-X,XSX,16.31,DI-319,139,11.9.2013
BBS,BB-,16.31,DI-319,139,11.9.2013
WW-,WWX,16.31,DI-319,139,11.9.2013
BSS,BXX,16.31,DI-319,139,11.9.2013
 -BX,SB-,16.31,DI-319,139,11.9.2013
 -SB,SXS,16.31,DI-319,139,11.9.2013
 -XX,SSB,16.32,DI-319,139,11.9.2013
 -BX,OOX,16.32,DI-319,139,11.9.2013
 -SB,X-X,16.32,DI-319,139,11.9.2013
W-X, --G,16.32,DI-319,139,11.9.2013
WW-,XXX,16.32,DI-319,139,11.9.2013
 -BX,BS-,16.32,DI-319,139,11.9.2013
BSS,XS-,16.32,DI-319,139,11.9.2013
XXW,W-W,16.32,DI-319,139,11.9.2013
 -BX,SBB,16.33,DI-319,139,11.9.2013
W-X,X-B,16.33,DI-319,139,11.9.2013
 -SB,XB-,16.33,DI-319,139,11.9.2013
WW-,X--,16.33,DI-319,139,11.9.2013
 -XX, -X-,16.33,DI-319,139,11.9.2013
XSS,XB-,16.33,DI-319,139,11.9.2013
 -BX,XOX,16.33,DI-319,139,11.9.2013
BSS,SSG,16.33,DI-319,139,11.9.2013
XXW, -XO,16.33,DI-319,139,11.9.2013
 -SB,Y--,16.33,DI-319,139,11.9.2013
BBS, -XG,16.33,DI-319,139,11.9.2013
WW-, -XB,16.33,DI-319,139,11.9.2013
BBS,BXX,16.33,DI-319,139,11.9.2013
 -XX, -SX,16.34,DI-319,139,11.9.2013
WW-,B-S,16.34,DI-319,139,11.9.2013
 -SB,SBB,16.34,DI-319,139,11.9.2013
XSS,SSG,16.34,DI-319,139,11.9.2013
WW-,XOO,16.34,DI-319,139,11.9.2013
BSS, -SS,16.34,DI-319,139,11.9.2013
GX-,GGG,16.34,DI-319,139,11.9.2013
 -XX,OO-,16.34,DI-319,139,11.9.2013
WXX, -Y-,16.34,DI-319,139,11.9.2013
GX-,WXW,16.35,DI-319,139,11.9.2013
XSS,YX-,16.35,DI-319,139,11.9.2013
BSS,OX-,16.35,DI-319,139,11.9.2013
WXX,OXO,16.36,DI-319,139,11.9.2013
BBS,SSX,16.36,DI-319,139,11.9.2013
GX-,XBB,16.36,DI-319,139,11.9.2013
WW-,SSS,16.36,DI-319,139,11.9.2013
GX-,BBX,16.36,DI-319,139,11.9.2013
O-X,X-X,16.36,DI-319,139,11.9.2013
W-X,SBS,16.36,DI-319,139,11.9.2013
 -XX,YY-,16.36,DI-319,139,11.9.2013
 -GG, -B-,16.36,DI-319,139,11.9.2013
BSS,Y--,16.36,DI-319,139,11.9.2013
WW-,XWW,16.37,DI-319,139,11.9.2013
 -SB,SXX,16.37,DI-319,139,11.9.2013
WXX,GXG,16.38,DI-319,139,11.9.2013
 -SB, --Y,16.38,DI-319,139,11.9.2013
XSS,W-X,16.38,DI-319,139,11.9.2013
BSB,XGX,16.38,DI-319,139,11.9.2013
 -XX, --S,16.38,DI-319,139,11.9.2013
BBS, --B,16.38,DI-319,139,11.9.2013
WW-, -O-,16.39,DI-319,139,11.9.2013
 -SB,WX-,16.39,DI-319,139,11.9.2013
GX-,W--,16.4,DI-319,139,11.9.2013
WW-,XGG,16.4,DI-319,139,11.9.2013
Y--,SSS,16.41,DI-319,139,11.9.2013
 -SB,SB-,16.41,DI-319,139,11.9.2013
BBS,BX-,16.41,DI-319,139,11.9.2013
 -XX, -XW,16.41,DI-319,139,11.9.2013
X-G,GGX,16.42,DI-319,139,11.9.2013
Y--, --X,16.42,DI-319,139,11.9.2013
BBS,BXB,16.42,DI-319,139,11.9.2013
 -SB,X-X,16.43,DI-319,139,11.9.2013
 -XX, -G-,16.43,DI-319,139,11.9.2013
 -SS, -OX,16.44,DI-319,139,11.9.2013
 -SS, B--,16.52,DI-319,139,11.9.2013
 -SB, -XW,16.52,DI-319,139,11.9.2013
SS-,X-X,13.22,DI-320,133,13.9.2013
SS-,WWW,13.23,DI-320,133,13.9.2013
SS-, -O-,13.25,DI-320,133,13.9.2013
O-O, -XW,13.26,DI-320,133,13.9.2013
SS-,XG-,13.26,DI-320,133,13.9.2013
XSX, -SS,13.27,DI-320,133,13.9.2013
O-O,XWW,13.27,DI-320,133,13.9.2013
SS-, -OO,13.27,DI-320,133,13.9.2013
SS-,X-G,13.28,DI-320,133,13.9.2013
SS-,XBB,13.28,DI-320,133,13.9.2013
SS-,XO-,13.29,DI-320,133,13.9.2013
O-O,YY-,13.29,DI-320,133,13.9.2013
SS-, --S,13.3,DI-320,133,13.9.2013
XSX,OOX,13.3,DI-320,133,13.9.2013
SS-,BS-,13.3,DI-320,133,13.9.2013
O-O,SBB,13.3,DI-320,133,13.9.2013
SSX, --B,13.31,DI-320,133,13.9.2013
 -O-,WX-,13.31,DI-320,133,13.9.2013
 --Y,S-X,13.31,DI-320,133,13.9.2013
SS-,OX-,13.32,DI-320,133,13.9.2013
 --Y,X-Y,13.32,DI-320,133,13.9.2013
 -SS,SSB,13.32,DI-320,133,13.9.2013
SS-,GGG,13.32,DI-320,133,13.9.2013
 --Y, -Y-,13.33,DI-320,133,13.9.2013
XSX,XXW,13.33,DI-320,133,13.9.2013
WWW, -SB,13.33,DI-320,133,13.9.2013
XXO,XB-,13.33,DI-320,133,13.9.2013
O-O,X-X,13.33,DI-320,133,13.9.2013
XXS,XXB,13.33,DI-320,133,13.9.2013
 -OX,G-X,13.34,DI-320,133,13.9.2013
 -SS,B--,13.34,DI-320,133,13.9.2013
SSX,GGX,13.34,DI-320,133,13.9.2013
XXO,SBS,13.34,DI-320,133,13.9.2013
O-O,OXX,13.34,DI-320,133,13.9.2013
SS-, -W-,13.34,DI-320,133,13.9.2013
XXS,XOO,13.34,DI-320,133,13.9.2013
 -SS,YX-,13.35,DI-320,133,13.9.2013
X-G,Y-Y,13.35,DI-320,133,13.9.2013
XG-, -YX,13.35,DI-320,133,13.9.2013
XXO,BB-,13.36,DI-320,133,13.9.2013
 --G, -WX,13.36,DI-320,133,13.9.2013
XXS,XX-,13.36,DI-320,133,13.9.2013
XG-, -GX,13.36,DI-320,133,13.9.2013
 -OX,BBS,13.36,DI-320,133,13.9.2013
 -SS,XW-,13.36,DI-320,133,13.9.2013
SSX, -BX,13.36,DI-320,133,13.9.2013
O-O, -XO,13.37,DI-320,133,13.9.2013
SS-,XSS,13.37,DI-320,133,13.9.2013
SSX,GG-,13.37,DI-320,133,13.9.2013
X-G,O--,13.38,DI-320,133,13.9.2013
XXS,S-B,13.38,DI-320,133,13.9.2013
XSX,OOO,13.38,DI-320,133,13.9.2013
XX-,XGG,13.38,DI-320,133,13.9.2013
XG-, --R,13.38,DI-320,133,13.9.2013
 --Y,YXX,13.38,DI-320,133,13.9.2013
 -SS,Y--,13.38,DI-320,133,13.9.2013
XSX,X-S,13.38,DI-320,133,13.9.2013
 --Y,X-B,13.38,DI-320,133,13.9.2013
 -SS,XX-,13.39,DI-320,133,13.9.2013
XXS,SXS,13.39,DI-320,133,13.9.2013
XXO,XOX,13.39,DI-320,133,13.9.2013
WWW,B-X,13.39,DI-320,133,13.9.2013
 -XS, -WW,13.39,DI-320,133,13.9.2013
X-G,X-W,13.39,DI-320,133,13.9.2013
XSX, -XG,13.4,DI-320,133,13.9.2013
SS-,BXB,13.4,DI-320,133,13.9.2013
 --Y,YYX,13.4,DI-320,133,13.9.2013
XG-,GXX,13.4,DI-320,133,13.9.2013
 -SS,SB-,13.4,DI-320,133,13.9.2013
 -W-,WWX,13.4,DI-320,133,13.9.2013
SS-, -BS,13.41,DI-320,133,13.9.2013
 -SS,W-W,13.41,DI-320,133,13.9.2013
XXO,XY-,13.41,DI-320,133,13.9.2013
XXS,Y-X,13.41,DI-320,133,13.9.2013
 -SS,XY-,13.41,DI-320,133,13.9.2013
 -W-, -XY,13.41,DI-320,133,13.9.2013
 -SS,O-X,13.41,DI-320,133,13.9.2013
SSS,YX-,13.41,DI-320,133,13.9.2013
XXS,G-G,13.42,DI-320,133,13.9.2013
SSX,WXW,13.42,DI-320,133,13.9.2013
WWW,W-X,13.42,DI-320,133,13.9.2013
 -SS,XGX,13.42,DI-320,133,13.9.2013
SS-, -XX,13.42,DI-320,133,13.9.2013
 -XS, -B-,13.42,DI-320,133,13.9.2013
 --Y,SX-,13.42,DI-320,133,13.9.2013
SS-,BBX,13.43,DI-320,133,13.9.2013
XS-, -Y-,13.43,DI-320,133,13.9.2013
XG-,BXX,13.43,DI-320,133,13.9.2013
XXS,B-S,13.44,DI-320,133,13.9.2013
XSX,XXG,13.44,DI-320,133,13.9.2013
 -OX,BX-,13.44,DI-320,133,13.9.2013
SS-, -GG,13.44,DI-320,133,13.9.2013
SSX,WW-,13.45,DI-320,133,13.9.2013
 --Y, -YX,13.46,DI-320,133,13.9.2013
 -OX,WXX,13.46,DI-320,133,13.9.2013
SS-,S--,13.46,DI-320,133,13.9.2013
XXO,S-S,13.47,DI-320,133,13.9.2013
SS-,W--,13.48,DI-320,133,13.9.2013
SS-,XXX,14.01,DI-320,133,13.9.2013
SS-,B-B,14.06,DI-320,133,13.9.2013
SS-,YYY,14.13,DI-320,133,13.9.2013
SS-,X--,14.14,DI-320,133,13.9.2013
SS-,BBB,14.18,DI-320,133,13.9.2013
SS-,S--,14.38,DI-320,133,13.9.2013
Y--,OO-,8.46,DI-322,105,14.9.2013
 -GG, --B,8.46,DI-322,105,14.9.2013
 -GG,YYX,8.47,DI-322,105,14.9.2013
Y--, -SX,8.47,DI-322,105,14.9.2013
 -GG, -YX,8.48,DI-322,105,14.9.2013
Y--,BB-,8.48,DI-322,105,14.9.2013
OO-,GGX,8.48,DI-322,105,14.9.2013
Y--,S-S,8.48,DI-322,105,14.9.2013
 -GG,WW-,8.48,DI-322,105,14.9.2013
 -GG, -YY,8.49,DI-322,105,14.9.2013
 -GG,SX-,8.49,DI-322,105,14.9.2013
Y--,X-O,8.5,DI-322,105,14.9.2013
Y--, --R,8.51,DI-322,105,14.9.2013
 -GG,X-B,8.51,DI-322,105,14.9.2013
X-S,SSS,8.51,DI-322,105,14.9.2013
 -GG,O-O,8.51,DI-322,105,14.9.2013
 -GG, -X-,8.52,DI-322,105,14.9.2013
GGG,G-G,8.52,DI-322,105,14.9.2013
SX-,G--,8.52,DI-322,105,14.9.2013
 --B,S-X,8.53,DI-322,105,14.9.2013
Y--,SS-,8.53,DI-322,105,14.9.2013
O-O, -OO,8.53,DI-322,105,14.9.2013
SX-,XBB,8.54,DI-322,105,14.9.2013
OO-, -GX,8.54,DI-322,105,14.9.2013
 -BB, -XB,8.55,DI-322,105,14.9.2013
GG-,WWW,8.55,DI-322,105,14.9.2013
OO-,W--,8.55,DI-322,105,14.9.2013
GG-,XX-,8.55,DI-322,105,14.9.2013
S-X,Y-X,8.55,DI-322,105,14.9.2013
BB-,Y-Y,8.56,DI-322,105,14.9.2013
B--, -BX,8.56,DI-322,105,14.9.2013
 -XX, -XG,8.56,DI-322,105,14.9.2013
SSS,YX-,8.56,DI-322,105,14.9.2013
GGG,XXG,8.57,DI-322,105,14.9.2013
 -X-, -S-,8.57,DI-322,105,14.9.2013
G-G,BBB,8.57,DI-322,105,14.9.2013
 -GG,XY-,8.57,DI-322,105,14.9.2013
 -X-,XSX,8.57,DI-322,105,14.9.2013
 -BB,SSX,8.58,DI-322,105,14.9.2013
X-B,XG-,8.58,DI-322,105,14.9.2013
 -GG,XXY,8.58,DI-322,105,14.9.2013
 -X-, --Y,8.58,DI-322,105,14.9.2013
GG-,GXG,8.58,DI-322,105,14.9.2013
 -OO,YXX,8.58,DI-322,105,14.9.2013
GG-,BXX,8.58,DI-322,105,14.9.2013
 -XX, --O,8.58,DI-322,105,14.9.2013
 -XB,XS-,8.58,DI-322,105,14.9.2013
WWW,XGG,8.59,DI-322,105,14.9.2013
 --B,GXX,8.59,DI-322,105,14.9.2013
XX-,G-X,9,DI-322,105,14.9.2013
 -XX, -XS,9,DI-322,105,14.9.2013
 -XB,BBX,9,DI-322,105,14.9.2013
 -BX,YY-,9,DI-322,105,14.9.2013
G-G,X-Y,9,DI-322,105,14.9.2013
Y--,XB-,9,DI-322,105,14.9.2013
 -XB,O--,9,DI-322,105,14.9.2013
 -X-,XXO,9,DI-322,105,14.9.2013
X-S,SXS,9,DI-322,105,14.9.2013
GG-,W-W,9,DI-322,105,14.9.2013
X-B,XO-,9,DI-322,105,14.9.2013
Y--,XXS,9,DI-322,105,14.9.2013
 -BB, -WW,9,DI-322,105,14.9.2013
G-G,XOO,9.01,DI-322,105,14.9.2013
G--,XBX,9.01,DI-322,105,14.9.2013
SX-,X-Y,9.01,DI-322,105,14.9.2013
 -BB,GX-,9.01,DI-322,105,14.9.2013
 -XG,XGX,9.01,DI-322,105,14.9.2013
 -XB, -XO,9.02,DI-322,105,14.9.2013
BXX,XYY,9.02,DI-322,105,14.9.2013
SSS, -G-,9.02,DI-322,105,14.9.2013
GG-,XOX,9.02,DI-322,105,14.9.2013
 -X-, --S,9.02,DI-322,105,14.9.2013
 -XX, --G,9.03,DI-322,105,14.9.2013
Y--,B-X,9.03,DI-322,105,14.9.2013
BXX, --W,9.03,DI-322,105,14.9.2013
 --B,XXB,9.03,DI-322,105,14.9.2013
B--,XO-,9.03,DI-322,105,14.9.2013
 -XB,XGG,9.03,DI-322,105,14.9.2013
SSX, -W-,9.03,DI-322,105,14.9.2013
 -XX,S--,9.03,DI-322,105,14.9.2013
GGG,BXB,9.04,DI-322,105,14.9.2013
 -YY,B-B,9.06,DI-322,105,14.9.2013
Y--, -Y-,9.09,DI-322,105,14.9.2013
S-S,XSS,9.12,DI-322,105,14.9.2013
S-- ,W-W,11.48,DI-325,192,20.9.2013
YYY,XW-,11.48,DI-325,192,20.9.2013
B-X,S-X,11.51,DI-325,192,20.9.2013
B-X,XG-,11.54,DI-325,192,20.9.2013
YYY,WX-,11.54,DI-325,192,20.9.2013
G--,YSS,11.54,DI-325,192,20.9.2013
G--,Y-X,11.55,DI-325,192,20.9.2013
YYY,GGS,11.56,DI-325,192,20.9.2013
B-X,S-B,11.56,DI-325,192,20.9.2013
 -XS,YX-,11.57,DI-325,192,20.9.2013
YY-,XXB,11.58,DI-325,192,20.9.2013
S-- ,S-W,11.58,DI-325,192,20.9.2013
B-X,O-O,11.58,DI-325,192,20.9.2013
 -XS,OSO,11.58,DI-325,192,20.9.2013
B-X, --R,11.58,DI-325,192,20.9.2013
G--, --X,11.59,DI-325,192,20.9.2013
B-X,BS-,11.59,DI-325,192,20.9.2013
 -XS,SSX,11.59,DI-325,192,20.9.2013
S-- , -BG,11.59,DI-325,192,20.9.2013
B-X,WW-,12,DI-325,192,20.9.2013
B-X,GSS,12.01,DI-325,192,20.9.2013
S-- ,BBS,12.01,DI-325,192,20.9.2013
B-X,G-X,12.01,DI-325,192,20.9.2013
 -XS,S-Y,12.02,DI-325,192,20.9.2013
SXS,BGG,12.02,DI-325,192,20.9.2013
GGG, -BS,12.02,DI-325,192,20.9.2013
G--, -XX,12.03,DI-325,192,20.9.2013
BBB,GXX,12.03,DI-325,192,20.9.2013
 -XS,SOS,12.03,DI-325,192,20.9.2013
S-- ,O-S,12.03,DI-325,192,20.9.2013
SXS,SXX,12.03,DI-325,192,20.9.2013
SXS,S-S,12.03,DI-325,192,20.9.2013
G--,WXX,12.04,DI-325,192,20.9.2013
GGG,OOO,12.04,DI-325,192,20.9.2013
YYY, -XB,12.04,DI-325,192,20.9.2013
 -XS,BG-,12.04,DI-325,192,20.9.2013
B-X,SSS,12.04,DI-325,192,20.9.2013
BB-,SB-,12.04,DI-325,192,20.9.2013
SXS, -SY,12.05,DI-325,192,20.9.2013
GGG,XSX,12.05,DI-325,192,20.9.2013
G--,XXX,12.05,DI-325,192,20.9.2013
B-X,W-X,12.05,DI-325,192,20.9.2013
BBB, -YY,12.05,DI-325,192,20.9.2013
 -XS, --Y,12.06,DI-325,192,20.9.2013
SXS, -XG,12.06,DI-325,192,20.9.2013
G--, --G,12.06,DI-325,192,20.9.2013
BB-,XXO,12.06,DI-325,192,20.9.2013
SSX, -BX,12.07,DI-325,192,20.9.2013
GGG, -SB,12.07,DI-325,192,20.9.2013
BBB,B-G,12.07,DI-325,192,20.9.2013
GG-,XYX,12.07,DI-325,192,20.9.2013
G--,XWX,12.07,DI-325,192,20.9.2013
B-X,BXX,12.07,DI-325,192,20.9.2013
GGG,X-S,12.08,DI-325,192,20.9.2013
SXS,B-S,12.08,DI-325,192,20.9.2013
 --B,SSB,12.08,DI-325,192,20.9.2013
GGG,XGG,12.09,DI-325,192,20.9.2013
G--,G-B,12.09,DI-325,192,20.9.2013
BB-,B--,12.09,DI-325,192,20.9.2013
B-X,WSS,12.09,DI-325,192,20.9.2013
YY-,YXX,12.1,DI-325,192,20.9.2013
SXS,GGX,12.1,DI-325,192,20.9.2013
 -XS,XXB,12.1,DI-325,192,20.9.2013
W--,XXG,12.1,DI-325,192,20.9.2013
SSX, -OO,12.11,DI-325,192,20.9.2013
 -XS,XWW,12.11,DI-325,192,20.9.2013
GGG, --S,12.11,DI-325,192,20.9.2013
GG-,SO-,12.11,DI-325,192,20.9.2013
OOO,OXX,12.11,DI-325,192,20.9.2013
 -XS,XGX,12.11,DI-325,192,20.9.2013
GGG,BSS,12.12,DI-325,192,20.9.2013
G--,WWS,12.12,DI-325,192,20.9.2013
SXS, -SO,12.13,DI-325,192,20.9.2013
B-X,GS-,12.13,DI-325,192,20.9.2013
BB-,YS-,12.13,DI-325,192,20.9.2013
XB-, -GS,12.13,DI-325,192,20.9.2013
GG-,YYX,12.13,DI-325,192,20.9.2013
W--,OXO,12.14,DI-325,192,20.9.2013
G--,X-W,12.14,DI-325,192,20.9.2013
B-X,BSB,12.14,DI-325,192,20.9.2013
 -XS,S-O,12.14,DI-325,192,20.9.2013
GG-,BBX,12.15,DI-325,192,20.9.2013
SXS,W-S,12.15,DI-325,192,20.9.2013
OOO,G-G,12.15,DI-325,192,20.9.2013
G--, -WS,12.15,DI-325,192,20.9.2013
W--,X-W,12.15,DI-325,192,20.9.2013
S-- ,SY-,12.15,DI-325,192,20.9.2013
 -XS, -Y-,12.16,DI-325,192,20.9.2013
GGG,OOS,12.16,DI-325,192,20.9.2013
