Colony Treatment Time Ant Behavior LocationOrigin SourceDestination
3004 4 0:00:00 OldUncoded Open old 
3004 4 3:24:40 *OPB E mediocre 
3004 4 3:25:19 P*B* E mediocre 
3004 4 3:29:05 POOB E mediocre 
3004 4 3:29:24 *OPB BCO mediocre ?
3004 4 3:29:24 GP** TAO mediocre ?
3004 4 3:30:09 P*B* L mediocre 
3004 4 3:33:32 GP** E mediocre 
3004 4 3:35:44 GY**(1) E mediocre 
3004 4 3:41:17 GY**(1) L mediocre 
3004 4 3:41:57 GY**(1) E mediocre 
3004 4 3:42:01 GY**(1) L mediocre 
3004 4 3:42:26 GY**(1) E mediocre 
3004 4 3:42:44 GP** L mediocre 
3004 4 3:47:03 GY**(2) E mediocre 
3004 4 3:47:55 *OPB E mediocre 
3004 4 3:48:48 *OPB L mediocre 
3004 4 3:52:12 GY**(1) L mediocre 
3004 4 3:55:30 GY**(2) L mediocre 
3004 4 3:56:07 P*B* E mediocre 
3004 4 3:58:24 GY**(1) E good 
3004 4 3:58:49 GP** E mediocre 
3004 4 4:00:00 GP** L mediocre 
3004 4 4:00:14 WWGY E good 
3004 4 4:00:52 P*B* L mediocre 
3004 4 4:02:14 GY**(1) L good 
3004 4 4:02:31 WWGY L good 
3004 4 4:02:56 WWGY E good 
3004 4 4:04:36 GY**(1) E mediocre 
3004 4 4:05:00 POOB L mediocre 
3004 4 4:05:29 GY**(1) L mediocre 
3004 4 4:08:56 WWGY L good 
3004 4 4:12:48 GY**(2) E mediocre 
3004 4 4:14:20 **** E mediocre 
3004 4 4:16:40 GY**(2) L mediocre 
3004 4 4:18:33 **** L mediocre 
3004 4 4:19:28 **** E mediocre 
3004 4 4:20:23 **** L mediocre 
3004 4 4:20:26 **** E mediocre 
3004 4 4:21:30 **** L mediocre 
3004 4 4:25:05 GOBW E mediocre 
3004 4 4:26:06 PG*G E mediocre 
3004 4 4:27:48 GOBW L mediocre 
3004 4 4:29:48 PG*G L mediocre 
3004 4 4:30:38 GW** E mediocre 
3004 4 4:31:01 GW** L mediocre 
3004 4 4:31:06 GW** E mediocre 
3004 4 4:31:37 **** E mediocre 
3004 4 4:35:04 GW** L mediocre 
3004 4 4:36:02 GY**(1) E mediocre 
3004 4 4:36:11 GY**(1) L mediocre 
3004 4 4:39:50 **** L mediocre 
3004 4 4:46:32 **** E good 
3004 4 4:49:38 P*B* E mediocre 
3004 4 4:51:47 POOB E mediocre 
3004 4 4:52:07 P*B* L mediocre 
3004 4 4:53:16 WWGY E mediocre 
3004 4 4:54:01 **** L good 
3004 4 4:54:13 WWGY L mediocre 
3004 4 4:54:17 WWGY E mediocre 
3004 4 4:54:44 WWGY L mediocre 
3004 4 4:56:47 PG*G E mediocre 
3004 4 4:56:56 PG*G L mediocre 
3004 4 4:59:53 PG*G E mediocre 
3004 4 5:03:45 **** E mediocre 
3004 4 5:09:34 **** L mediocre 
3004 4 5:16:48 **** E mediocre 
3004 4 5:24:34 WWGY E good 
3004 4 5:24:42 **** L mediocre 
3004 4 5:25:48 PG*G L mediocre 
3004 4 5:28:15 POOB L mediocre 
3004 4 5:29:55 WWGY L good 
3004 4 5:32:12 **** E good 
3004 4 5:40:52 GOBW E mediocre 
