SET,Treatment,Colony,Emigration,Leader,Follower,Time_Start,Time_Stop,Leaves_From,Arrives_at,Target,Success_or_Fail_or_Switch,BREAK_UP,X,Y,Nth_Tandem,Leader_Consist_Lead,Follower_Consist_Foll
3,Control,3_4,1,RYRY,GRYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,2
3,Control,3_4,1,YYRW,PGRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3,3
3,Control,3_4,1,PGRR,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4,4
3,Control,3_4,1,PGRR,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,4,4
3,Control,3_4,1,PGRR,PYGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4,2
3,Control,3_4,1,RYRY,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,3
3,Control,3_4,1,BYBR,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,4
3,Control,3_4,1,YBRG,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,3
3,Control,3_4,1,PGRR,PPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4,3
3,Control,3_4,1,GBYR,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4,3
3,Control,3_4,1,PGRR,RRGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,4,1
3,Control,3_4,1,GBYR,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4,4
3,Control,3_4,1,RGBP,PWRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,4
3,Control,3_4,1,YRWB,GGYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,3,4
3,Control,3_4,1,PPPY,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1,4
3,Control,3_4,1,GBYR,BYBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,2
3,Control,3_4,1,PPPY,PWBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1,3
3,Control,3_4,1,GBYR,GPWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,4,4
3,Control,3_4,1,GBYR,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,4,4
3,Control,3_4,1,RRGW,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,4
3,Control,3_4,1,PPPY,GBWW,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,2
3,Control,3_4,1,GGBG,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1,4
3,Control,3_4,1,GBYR,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,4,4
3,Control,3_4,2,GBYR,RYRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3
3,Control,3_4,2,RGBP,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3
3,Control,3_4,2,GBYR,GBPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4
3,Control,3_4,2,PWBB,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3
3,Control,3_4,2,PRRG,GPRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2
3,Control,3_4,2,GBYR,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4
3,Control,3_4,2,PWBB,PWGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,4
3,Control,3_4,2,BPGG,YBRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,3
3,Control,3_4,2,SAME,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,4
3,Control,3_4,2,GBYR,YYRW,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,4
3,Control,3_4,2,PRRG,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,4
3,Control,3_4,2,GBYR,BBWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,4
3,Control,3_4,2,WRYP,PWGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,4
3,Control,3_4,2,PRRG,YYYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,4
3,Control,3_4,2,PGGY,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,4
3,Control,3_4,2,WRYP,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,4
3,Control,3_4,2,WRYP,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4,4
3,Control,3_4,2,PRRG,GWWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,2
3,Control,3_4,2,WRYP,GBPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,4
3,Control,3_4,2,PGGY,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,4
3,Control,3_4,2,BBWP,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,4
3,Control,3_4,2,BPGG,BYBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3,2
3,Control,3_4,2,PRRG,RWYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3,2
3,Control,3_4,2,GBYR,PWGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,4
3,Control,3_4,2,PWBB,PGPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,2
3,Control,3_4,2,PGGY,PPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,3
3,Control,3_4,2,WRYP,GGYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,4
3,Control,3_4,2,WRYP,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,4
3,Control,3_4,2,GBYR,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,4
3,Control,3_4,2,PGGY,PWBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4,3
3,Control,3_4,2,GBWW,GGBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,2
3,Control,3_4,2,GBYR,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4,4
3,Control,3_4,2,BBWP,RYRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2,3
3,Control,3_4,2,GWRR,BPGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2,1
3,Control,3_4,2,PWBB,YRWB,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,3
3,Control,3_4,2,WRYP,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4,2
3,Control,3_4,2,BPGG,BYBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,3,2
3,Control,3_4,2,BBWP,YYWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,2,2
3,Control,3_4,2,GWRR,RYRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,2,3
3,Control,3_4,2,WRYP,PWRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,4
3,Control,3_4,2,BBWP,YYWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,2,2
3,Control,3_4,2,GPRB,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1,4
3,Control,3_4,2,GBYR,YYWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,2
3,Control,3_4,2,RGRB,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2,4
3,Control,3_4,2,GWRR,YRWB,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,3
3,Control,3_4,2,RGBP,PPBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,4,4
3,Control,3_4,2,GBWW,PPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,3
3,Control,3_4,2,GWRR,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2,4
3,Control,3_4,2,GBYR,GRYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,4,2
3,Control,3_4,2,PWBB,YBRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,3
3,Control,3_4,2,GWRR,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2,3
3,Control,3_4,2,GBWW,PPBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,4
3,Control,3_4,2,PGRR,PWBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,4,3
3,Control,3_4,2,WRYP,GWWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,4,2
3,Control,3_4,2,RGBP,YYRW,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,4,4
3,Control,3_4,2,PGGY,GPWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,4,4
3,Control,3_4,2,GWRR,BYBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2,2
3,Control,3_4,2,GPRB,YBRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,3
3,Control,3_4,2,WRYP,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,4,4
3,Control,3_4,2,GBPB,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2,3
3,Control,3_4,2,GBWW,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1,2
3,Control,3_4,2,RGBP,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,4,4
3,Control,3_4,2,YRWB,GPWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,3,4
3,Control,3_4,2,WGBB,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,3,3
3,Control,3_4,2,RGBP,PWBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,4,3
3,Control,3_4,2,WGBB,PYWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,3,3
3,Control,3_4,3,WRYP,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4
3,Control,3_4,3,GBYR,GGYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4
3,Control,3_4,3,RWYG,GPWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4
3,Control,3_4,3,WRYP,YYYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
3,Control,3_4,3,BPGG,PRRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3
3,Control,3_4,3,GBYR,GBPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4
3,Control,3_4,3,RGBP,PGGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,3
3,Control,3_4,3,BPGG,WBYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,4
3,Control,3_4,3,PYGP,PWRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,4
3,Control,3_4,3,RWYG,PWGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,4
3,Control,3_4,3,GBYR,PPBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,4
3,Control,3_4,3,BPGG,GPPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,1
3,Control,3_4,3,RWYG,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,2
3,Control,3_4,3,GBYR,PRRG,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,3
3,Control,3_4,3,RWYG,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,4
3,Control,3_4,3,RGBP,YRGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,2
3,Control,3_4,3,PRRG,YYWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,2
3,Control,3_4,3,GBYR,BBWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4,4
3,Control,3_4,3,YYYR,PGPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,2
3,Control,3_4,3,RWYG,PYWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,3
3,Control,3_4,3,PRRG,YYRW,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,4
3,Control,3_4,3,GBYR,BBYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,4,4
3,Control,3_4,3,BPGG,GGYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3,4
3,Control,3_4,3,RGBP,RGRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,4
3,Control,3_4,3,GBYR,PPBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,4,4
3,Control,3_4,3,GBYR,WGBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,4
3,Control,3_4,3,RWYG,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,3
3,Control,3_4,3,RGRB,YYWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,2
3,Control,3_4,3,GBYR,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,3
3,Control,3_4,3,RWYG,PGRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,3
3,Control,3_4,3,PRRG,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,3,4
3,Control,3_4,3,RWYG,PYWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,3
