Genus,Species,"Detailed Foraging Type; 0=Solitary, 1=tandem behavior, 2=mass recruitment, 3=group recruitment, 4=group hunting/raiding, 5=trunk trails/long-term trail network [See Table 1 for Definitions & Reduced Parameters]"
Parasyscia,opaca,4
Paratrechina,longicornis,5
Patagonomyrmex,angustus,0
Patagonomyrmex,laevigatus,0
Patagonomyrmex,odoratus,0
Pheidole,absurda,0&5
Pheidole,ceres,2
Pheidole,dentata,0&2
Pheidole,embolopyx,0&2
Pheidole,fallax,2
Pheidole,gilvescens,5
Pheidole,megacephala,0&2
Pheidole,militicida,5
Pheidole,morrissi ,2
Pheidole,oxyops,2
Pheidole,pallidula,2
Pheidole,rugulosa,5
Pheidole,titanis,3
Pheidole,xerophila,5
Philidris,cordatus,5
Platythyrea,conradti,0
Platythyrea,modesta,0
Platythyrea,parallela,0
Plectroctena,mandibularis,0
Plectroctena,minor,0&3
Podomyrma,laevifrons,2
Pogonomyrmex,badius,5
Pogonomyrmex,barbatus,5
Pogonomyrmex,californicus,0
Pogonomyrmex,magnacanthus,0
Pogonomyrmex,maricopa,0&2
Pogonomyrmex,mayri,0
Pogonomyrmex,occidentalis,5
Pogonomyrmex,pima,0
Pogonomyrmex,rugosus,0&5
Pogonomyrmex,salinus,5
Pogonomyrmex,vermiculatus,0
Polyergus,lucidus,3
Polyrhachis,arachne,2
Polyrhachis,bellicosa,2
Polyrhachis,bicolor,2
Polyrhachis,dives,2
Polyrhachis,furcata,2
Polyrhachis,illaudata,2
Polyrhachis,laboriosa,0&3
Polyrhachis,muelleri,3
Polyrhachis,nigropilosa,3
Polyrhachis,olybria,2
Polyrhachis,proxima,1
Polyrhachis,rufipes,?
Polyrhachis,schellerichae,3
Polyrhachis,sokolova,0
Ponera,pennsylvannica,0&1
Prenolepis,imparis,0&2
Prenolepis,nitens,2
Prionopelta,amabilis,2
Pristomyrmex,punctatus,5
Proatta,butteli,0
Probolomyrmex,dammermani,0
Proceratium,croceum,0
Proformica,longiseta,0
Prolasius,advenus,0
Psalidomyrmex,procerus,0
Pseudomyrmex,gracilis,0
Pseudomyrmex,termitarius,0
Pseudomyrmex,triplarinus,0&2
Pseudoneoponera,sublaevis,0
Pseudoneoponera,tridentata,0
Pseudoponera,stigma,0
Rhytidoponera,aurata,0
Rhytidoponera,impressa,0
Rhytidoponera,metallica,0
Rossomyrmex,minuchae,2
Sericomyrmex,mayri,0&5
Sericomyrmex,bondari,0&5
Simopelta,jeckylii,5
Simopelta,oculata,5
Simopone,sicaria,4
Solenopsis,geminata,2
Solenopsis,invicta,2
Solenopsis,richteri,2
Solenopsis,saevissima,2
Stegomyrmex,vizottoi,0
Stigmatomma,pluto,0
Stigmatomma,reclinatum,0&?
Stigmatomma_GroupC,pallipes,0
Streblognathus,peetersi,0
Strongylognathus,sp.,2
Strumigenys,canina,0
Strumigenys,hexamera,0
Strumigenys,lewisi,0
Strumigenys,lujae,0
Strumigenys,solifontis,0
Tapinoma,antarcticum,?
Tapinoma,erraticum,?
Tapinoma,isralele,?
Tapinoma,nigerrimum,5
Tapinoma,sessile,5
Tapinoma,simrothi,5
