Colony_ID Replicate Leader Follower StartTime EndTime Origin target_choice Target_Nest Origin_Y TandEnd_X TandEnd_Y Fail.Success
1 5 R3D3 36 7127 7202 Original R 36 39 52 44 Fail
1 5 12 167 7277 7473 Original L 36 39 16 4 Success
1 5 F2 296 7407 7748 Original L 36 39 16 4 Success
1 5 20000 28A 7465 7827 Original L 36 39 16 4 Success
1 5 3C3 279 7511 7680 Original L 36 39 16 4 Success
1 5 12 24F 7868 8038 Original L 36 39 16 4 Success
1 5 R3D3 F8 7965 8301 Original R 36 39 56 4 Success
1 5 F2 3DA 8136 8285 Original L 36 39 16 4 Success
1 5 3C3 3AA 8246 8552 Original L 36 39 16 4 Success
1 5 12 358 8600 8783 Original L 36 39 16 4 Success
1 5 222 36 8645 8835 Original L 36 39 16 4 Success
1 5 279 20000 8670 8877 Original L 36 39 16 4 Success
1 5 F2 F8 8760 8909 Original L 36 39 16 4 Success
1 5 12 24F 9235 9449 Original L 36 39 16 4 Success
1 5 222 209 9380 9523 Left R 16 4 36 2 Fail
1 5 F2 20000 9432 9614 Original L 36 39 16 4 Success
1 5 279 3DA 9570 9819 Original L 36 39 16 4 Success
1 5 3C3 3AA 9952 10567 Left I 16 4 48 41 Fail
1 5 279 11 10158 10610 Original L 36 39 16 4 Success
1 5 R3D3 F8 10270 10523 Original R 36 39 56 4 Success
1 5 R3D3 3DD 11040 11346 Original R 36 39 56 4 Success
1 5 3C3 209 11246 11603 Right I 56 4 36 39 Success
1 5 20B 202 11470 11820 Original R 36 39 56 4 Success
1 5 279 3DA 11586 12023 Original R 36 39 56 4 Success
1 5 3AA 209 11719 11944 Original L 36 39 16 4 Success
1 5 3AA 28A 13146 13198 Right I 56 4 62 17 Fail
1 5 3AA 4F 13402 13491 Right I 56 4 66 22 Fail
1 5 3AA 3DD 13856 14076 Right I 56 4 36 39 Success
1 5 3AA 4F 14642 14790 Right I 56 4 30 38 Fail
1 5 12 20000 14948 14964 Left I 16 4 16 10 Fail
1 5 3AA F8 15110 15390 Right I 56 4 36 39 Success
1 5 12 28A 15205 15357 Left I 16 4 35 41 Fail
1 5 36 358 16347 16546 Left R 16 4 56 4 Success
1 5 3C3 4F 17422 17602 Right I 56 4 40 40 Fail
1 5 36 114 18097 18278 Left R 16 4 56 4 Success
1 5 24F 3BA 15088 18892 Right L 56 4 16 4 Success
1 5 D8 28A 18770 18783 Left I 16 4 17 10 Fail
1 5 F8 36 19604 19836 Left I 16 4 68 37 Fail
2 1 2CC 1A1 2400 2600 Original R 36 39 47 15 Fail
2 1 1F5 384 3020 3261 Original R 36 39 51 17 Fail
2 1 6D 245 3087 3300 Original L 36 39 23 24 Fail
2 1 272 67 3385 3495 Original L 36 39 19 18 Fail
2 1 7C 2A5 3461 3702 Original R 36 39 56 4 Success
2 1 83 2F6 3850 4061 Original R 36 39 56 4 Success
2 1 1F5 15F 4036 4342 Original R 36 39 61 2 Fail
2 1 303 216 4159 4425 Original R 36 39 68 6 Fail
2 1 361 328 4174 4482 Original R 36 39 56 4 Success
2 1 384 67 4560 4730 Original L 36 39 16 4 Success
2 1 245 6D 4740 4841 Original L 36 39 34 30 Fail
2 1 1F5 11A 4904 5084 Original R 36 39 56 4 Success
2 1 328 12F 4982 5311 Original R 36 39 56 4 Success
2 1 361 3B5 5116 5436 Original R 36 39 56 4 Success
2 1 7C 303 5180 5200 Original R 36 39 40 31 Fail
2 1 1F5 2CC 5362 5570 Original R 36 39 56 4 Success
2 1 6D 143 5445 5796 Original L 36 39 16 4 Success
2 1 245 12F 5499 5730 Original R 36 39 56 4 Success
2 1 1F5 297 5810 5987 Original R 36 39 56 4 Success
2 1 272 11A 5890 6190 Original L 36 39 16 4 Success
2 1 384 3B5 5966 6320 Original R 36 39 56 4 Success
2 1 2CC 7C 6234 6410 Original R 36 39 49 4 Fail
2 1 1F5 185 6340 6533 Original R 36 39 56 4 Success
2 1 384 297 6569 6738 Original R 36 39 56 4 Success
2 1 6D 122 6600 6807 Original L 36 39 16 4 Success
2 1 303 1F5 6825 6880 Right I 56 4 59 8 Fail
2 1 272 34A 6990 7282 Original L 36 39 16 4 Success
2 1 384 308 7050 7247 Original R 36 39 56 4 Success
2 1 312 83 7313 7390 Original L 36 39 28 40 Fail
2 1 297 7C 7359 7636 Original R 36 39 65 11 Fail
2 1 384 6D 7560 7590 Original R 36 39 36 37 Fail
2 1 384 7C 7930 8020 Right I 56 4 46 34 Fail
2 1 6D 11A 8080 8378 Original L 36 39 16 4 Success
2 1 6D 32B 8490 8690 Left I 16 4 9 11 Fail
2 1 384 7C 8960 9072 Right I 56 4 36 39 Success
2 1 384 16B 9296 9470 Right I 56 4 36 39 Success
2 1 3C9 7C 10005 10100 Original L 36 39 35 25 Fail
2 1 342 2F6 12940 13938 Right I 56 4 65 9 Fail
2 2 1F5 7C 4333 4508 Original L 36 39 16 4 Success
2 2 34A 185 4375 4690 Original R 36 39 61 2 Fail
2 2 3D4 67 4925 5342 Original L 36 39 16 4 Success
2 2 1F5 1A1 5103 5180 Original L 36 39 31 30 Fail
2 2 1F5 2 5103 5325 Original L 36 39 16 4 Success
2 2 7C 83 5296 5605 Original L 36 39 16 4 Success
2 2 34A 84 5412 5816 Original R 36 39 56 4 Success
2 2 1F5 122 6112 6440 Original L 36 39 12 7 Fail
2 2 384 67 6251 6507 Original R 36 39 60 22 Fail
2 2 185 12F 6487 6673 Original L 36 39 22 5 Fail
2 2 272 308 6750 7195 Original R 36 39 43 4 Fail
2 2 1F5 342 6812 7180 Original L 36 39 16 4 Success
2 2 384 B9 7355 7858 Original R 36 39 56 4 Success
2 2 1F5 A1 7485 7682 Original L 36 39 16 4 Success
2 2 12F 2A5 7865 7938 Original R 36 39 40 36 Fail
2 2 3C9 384 8490 8604 Original R 36 39 43 24 Fail
2 2 B9 361 8555 8758 Original R 36 39 56 4 Success
2 2 272 67 8780 9110 Original R 36 39 61 7 Fail
2 2 3D4 7C 9340 9494 Original L 36 39 13 19 Fail
2 2 3C9 B9 9340 9529 Original R 36 39 56 4 Success
2 2 384 R2D2 9429 9717 Original R 36 39 56 4 Success
2 2 272 361 9662 10100 Original R 36 39 54 38 Fail
2 2 122 67 9740 9820 Original L 36 39 27 29 Fail
2 2 B9 249 9889 10153 Original R 36 39 56 4 Success
2 2 3D4 67 10090 10377 Original L 36 39 16 4 Success
2 2 1F5 R2D2 10390 10712 Original L 36 39 16 4 Success
2 2 122 7C 10610 10700 Original L 36 39 19 27 Fail
2 2 272 14 11030 11441 Original R 36 39 50 19 Fail
2 2 B9 384 11172 11277 Original R 36 39 56 4 Success
2 2 384 67 11570 11762 Original R 36 39 56 4 Success
2 2 384 67 11980 12140 Right I 56 4 57 32 Fail
2 2 143 36F 12483 12860 Right I 56 4 36 39 Success
2 2 272 67 12827 13130 Original R 36 39 56 4 Success
2 2 1A1 83 13200 13259 Left I 16 4 12 12 Fail
2 2 7C 10 13610 13768 Left I 16 4 13 35 Fail
2 2 272 14 13705 14050 Original R 36 39 56 4 Success
2 2 1A1 2CC 13907 14020 Original L 36 39 21 37 Fail
2 3 B9 122 2124 2175 Original L 36 39 28 42 Fail
2 3 3C9 10 4885 5013 Original L 36 39 23 29 Fail
2 3 3C9 83 4885 5420 Original R 36 39 37 25 Fail
2 3 245 12F 5650 5829 Original R 36 39 56 4 Success
2 3 3C9 143 5870 6298 Original L 36 39 16 4 Success
2 3 1F5 7C 6150 6315 Original L 36 39 16 4 Success
2 3 245 308 6271 6425 Original R 36 39 56 4 Success
2 3 342 170 6244 6527 Original R 36 39 56 4 Success
2 3 3D4 R2D2 6381 6716 Original L 36 39 16 4 Success
2 3 1F5 2A5 6825 6952 Original L 36 39 18 18 Fail
2 3 1F5 122 6825 6985 Original L 36 39 16 4 Success
2 3 245 R2D2 7003 7176 Original R 36 39 56 4 Success
2 3 3C9 16B 7310 7393 Original L 36 39 22 39 Fail
2 3 3C9 7C 7310 7393 Original L 36 39 16 30 Fail
2 3 342 7D 7870 8039 Original R 36 39 54 31 Fail
2 3 3C9 36F 8517 8885 Left I 16 4 36 39 Success
2 3 342 1F5 8984 9491 Right L 56 4 16 4 Success
2 3 342 5D 9850 9917 Right I 56 4 48 15 Fail
2 3 342 216 9850 10120 Right L 56 4 16 4 Success
2 3 384 272 9979 10118 Original R 36 39 57 11 Fail
2 3 7C 1F5 11780 11986 Right I 56 4 39 43 Fail
2 3 361 2 12880 13240 Right I 56 4 36 39 Success
2 4 B9 122 3312 4160 Original R 36 39 56 4 Success
2 4 384 308 3740 4061 Original R 36 39 39 4 Fail
2 4 1F5 7C 4149 4377 Original R 36 39 42 33 Fail
2 4 B9 2C3 4571 4970 Original R 36 39 56 4 Success
2 4 1A1 342 4934 4980 Original R 36 39 36 4 Fail
2 4 1F5 14 5356 5692 Original R 36 39 61 2 Fail
2 4 1A1 308 5555 5601 Original L 36 39 34 34 Fail
2 4 1A1 2A5 6475 6610 Original L 36 39 16 4 Success
2 4 R2D2 5D 6535 6732 Original R 36 39 56 37 Fail
2 4 1A1 2F6 7900 8072 Original L 36 39 16 4 Success
2 4 3B5 12F 8072 8133 Right I 56 4 62 12 Fail
2 4 3B5 36F 9224 9294 Right I 56 4 63 12 Fail
2 4 384 2F1 9882 9905 Original R 36 39 36 34 Fail
2 4 R2D2 67 9980 10322 Right I 56 4 58 28 Fail
2 4 7C 5D 10292 10534 Right I 56 4 39 39 Fail
2 4 384 83 11821 12168 Right I 56 4 36 38 Fail
2 5 361 14 6131 6193 Original R 36 39 43 38 Fail
2 5 15F 14 6800 7000 Original L 36 39 8 12 Fail
2 5 R2D2 67 6985 7493 Original L 36 39 16 4 Success
2 5 R2D2 7C 7955 8057 Original L 36 39 27 25 Fail
2 5 R2D2 245 7955 8177 Original L 36 39 16 4 Success
2 5 1A1 53 8820 8960 Original L 36 39 18 6 Fail
2 5 2A5 2F6 8996 9148 Original R 36 39 56 4 Success
2 5 245 B9 9328 9451 Original L 36 39 31 5 Fail
2 5 2A5 10 9738 9864 Original R 36 39 56 4 Success
2 5 361 7C 9800 9835 Right I 56 4 66 13 Fail
2 5 1F5 3B5 10650 10716 Original R 36 39 39 32 Fail
2 5 1F5 B9 10650 10829 Original R 36 39 56 4 Success
2 5 2A5 294 10941 11268 Original R 36 39 56 4 Success
2 5 R2D2 331 11030 11387 Original L 36 39 16 4 Success
2 5 R3D3 7C 11171 11260 Original R 36 39 47 27 Fail
2 5 R3D3 1A1 11171 11320 Original R 36 39 63 21 Fail
2 5 245 53 11348 11518 Original L 36 39 16 4 Success
2 5 384 46 11685 11720 Original R 36 39 36 34 Fail
2 5 2A5 245 11660 11770 Right I 56 4 65 9 Fail
2 5 R2D2 B9 11765 12096 Original L 36 39 16 4 Success
2 5 36F 254 12315 12330 Right I 56 4 55 11 Fail
2 5 384 11F 12398 12620 Original R 36 39 37 4 Fail
2 5 2A5 7C 12504 12886 Right I 56 4 36 39 Success
2 5 384 7C 12970 13198 Original L 36 39 29 28 Fail
2 5 272 3D4 13405 13443 Left I 16 4 19 12 Fail
2 5 384 7C 13603 13732 Original L 36 39 16 4 Success
2 5 2A5 6F 13780 14143 Right I 56 4 40 39 Fail
2 5 384 7C 13988 14040 Left I 16 4 18 8 Fail
2 5 361 109 14686 14729 Right I 56 4 60 12 Fail
2 5 361 308 20242 20407 Right I 56 4 36 39 Success
2 5 361 83 20772 20843 Right I 56 4 65 21 Fail
3 1 1DF 20 4200 4690 Original R 36 39 56 7 Fail
3 1 25 325 4771 4970 Original L 36 39 12 7 Fail
3 1 25 103 5268 5420 Original L 36 39 16 4 Success
3 1 25 90 5770 5950 Original L 36 39 16 4 Success
3 1 30 1D4 6200 6235 Original L 36 39 33 35 Fail
3 1 25 31 6330 6475 Original L 36 39 16 4 Success
3 1 94 111 6478 6740 Original R 36 39 61 2 Fail
3 1 20 332 6610 6790 Original R 36 39 67 14 Fail
3 1 16 3A7 7050 7230 Original R 36 39 56 4 Success
3 1 353 25 7130 7397 Original L 36 39 2 9 Fail
3 1 16A 18 7256 7703 Original L 36 39 16 33 Fail
3 1 94 272 7379 7532 Original R 36 39 56 4 Success
3 1 16 111 7815 8078 Original R 36 39 56 4 Success
3 1 142 20 7890 8090 Original L 36 39 16 4 Success
3 1 94 240 7880 8110 Original R 36 39 56 4 Success
3 1 31 332 8160 8294 Original L 36 39 12 33 Fail
3 1 353 236 8253 8770 Original L 36 39 16 4 Success
3 1 30 EA 8340 8417 Original L 36 39 29 30 Fail
